SNOMED Procedure,Count,% of Total
Insertion of cardiac biventricular implantable cardioverter defibrillator using fluoroscopic guidance (procedure) (433844000),5,0.0
Magnetic resonance imaging of upper arm (procedure) (241634005),5,0.0
Magnetic resonance imaging of penis (procedure) (433007004),5,0.0
Percutaneous transluminal atherectomy using fluoroscopic guidance (procedure),5,0.0
Positron emission tomography with computed tomography 18F fluorodeoxyglucose imaging of cranial vertex to mid-thigh (procedure),5,0.0
Radiofrequency ablation of lesion of kidney using computed tomography guidance (procedure),5,0.0
Injection of nerve root of sacral spine using fluoroscopic guidance (procedure),5,0.0
Proctogram (procedure) (241169008),5,0.0
Radiolabeled 23 selena-25-homotaurocholate selenium 75 bile study (procedure) (431656008),5,0.0
Single photon emission computed tomography of whole body using iodine 131 (procedure),5,0.0
Single photon emission computed tomography with computed tomography of perfusion of lung (procedure),5,0.0
Fluoroscopic arthrography of knee (procedure),5,0.0
Fluoroscopy of left lower limb (procedure) (71000087107),5,0.0
Hydrodistention of glenohumeral joint using fluoroscopic guidance (procedure),5,0.0
Nephrostomy using ultrasound guidance (procedure),5,0.0
Fluoroscopy - skull (procedure),5,0.0
Magnetic resonance imaging of foot with contrast (procedure) (432240005),5,0.0
Radionuclide dual phase gastric emptying study (procedure) (241317006),5,0.0
Marking of skin using ultrasound guidance (procedure),5,0.0
Computed tomography of calcaneum (procedure) (420145009),5,0.0
Radionuclide imaging of thyroid using technetium (99m-Tc) sodium pertechnetate (procedure) (763939006),5,0.0
Magnetic resonance imaging of Achilles tendon (procedure),5,0.0
Ultrasonography of calf (procedure) (431622002),5,0.0
Doppler ultrasonography of kidney (procedure) (418354002),5,0.0
Endoscopic insertion of metallic colorectal stent using fluoroscopic guidance (procedure) (850561000000102),5,0.0
Radionuclide dynamic bone imaging (procedure) (432056005),5,0.0
Magnetic resonance imaging of cardiac valvular function (procedure) (432845009),5,0.0
Small bowel series with water soluble contrast follow through (procedure),5,0.0
Fluoroscopic percutaneous angiography of heart for congenital anomaly study (procedure),5,0.0
Ultrasonography of plantar fascia (procedure),5,0.0
Magnetic resonance imaging of fetus (procedure) (431407000),5,0.0
Magnetic resonance imaging angiography of head with contrast (procedure),5,0.0
Whole body radioiodine I123 study (procedure),5,0.0
Magnetic resonance imaging of right knee with contrast (procedure) (2501000087107),5,0.0
Fluoroscopic arthrography of wrist joint with contrast (procedure),5,0.0
Magnetic resonance spectroscopy of head (procedure),5,0.0
Fluoroscopy of spine for assessment of spinal movement (procedure) (431533005),5,0.0
Extracorporeal shockwave lithotripsy of the kidney using fluoroscopic guidance (procedure),5,0.0
Ultrasound doppler scan of penis (procedure) (418762008),5,0.0
Pertechnetate thyroid imaging study (procedure) (241377002),5,0.0
Upright stereotactic X-ray guided wire localisation of breast lesion (procedure),5,0.0
Extracorporeal shockwave lithotripsy using fluoroscopic guidance (procedure) (432032006),5,0.0
Replacement of gastrostomy tube using fluoroscopic guidance (procedure) (431213007),5,0.0
Insertion of tunneled central venous catheter using fluoroscopic guidance (procedure) (432019001),5,0.0
Venoplasty using fluoroscopic guidance (procedure),5,0.0
Drainage using fluoroscopic guidance (procedure),4,0.0
Percutaneous embolization of artery using fluoroscopic guidance (procedure),4,0.0
Percutaneous cryoablation of neoplasm of left kidney using computed tomography guidance (procedure),4,0.0
Radiolabelled octreotide imaging (procedure),4,0.0
Ultrasound scan of lower abdomen (procedure),4,0.0
Computed tomography scan - whole body (procedure),4,0.0
Magnetic resonance imaging of cervicothoracic spine (procedure) (419356006),4,0.0
Radionuclide two-phase bone imaging of knee (procedure),4,0.0
Magnetic resonance imaging of neck vessels (procedure),4,0.0
Fluoroscopic urethrography (procedure),4,0.0
Adjustment of gastric banding using fluoroscopic guidance (procedure),4,0.0
Fluoroscopic angiography of left side of heart (procedure) (420136008),4,0.0
Single photon emission computed tomography using gallium (procedure) (429818002),4,0.0
Magnetic resonance imaging of right scapula (procedure),4,0.0
Insertion of tunneled dialysis catheter using fluoroscopic guidance (procedure) (431781000),4,0.0
Doppler ultrasonography of kidney (procedure),4,0.0
Transvaginal doppler ultrasonography of pelvis (procedure),4,0.0
"Computed tomography of head, thorax, abdomen and pelvis (procedure)",4,0.0
Percutaneous thrombectomy of cerebral artery using fluoroscopic guidance (procedure),4,0.0
Single photon emission computed tomography of bone of head and neck (procedure) (431837001),4,0.0
Magnetic resonance imaging of anal sphincter (procedure) (447224000),4,0.0
Injection of elbow using ultrasound guidance (procedure),4,0.0
Marking of skin of breast using ultrasound guidance (procedure) (433069004),4,0.0
Magnetic resonance imaging of sternum (procedure) (432314002),4,0.0
Subclavian venography (procedure) (312731002),4,0.0
Magnetic resonance imaging of forefoot (procedure),4,0.0
Renal isotope studies (procedure) (241354002),4,0.0
Magnetic resonance arthrography of left hip (procedure) (19621000087108),4,0.0
Dual energy X-ray photon absorptiometry scan of whole body (procedure) (440496005),4,0.0
Magnetic resonance imaging of mandible (procedure),4,0.0
X-ray of sacrum using mobile image intensifier (procedure),4,0.0
Radionuclide solid phase gastric emptying study (procedure),4,0.0
Single photon emission computed tomography with computed tomography of bone of lumbar spine (procedure) (443580006),4,0.0
Percutaneous insertion of aortic valve using fluoroscopic guidance (procedure),4,0.0
Fluoroscopic intravenous digital subtraction angiography of intracerebral vessel (procedure),4,0.0
Magnetic resonance imaging of prostate with contrast (procedure) (709525001),4,0.0
X-ray of thoracic spine using mobile image intensifier (procedure),4,0.0
Magnetic resonance imaging venography (procedure) (419194002),4,0.0
Magnetic resonance imaging of ankle with contrast (procedure) (432111000),4,0.0
X-ray of sacrum using mobile image intensifier (procedure) (432078003),4,0.0
Insertion of magnetic marker into left breast using ultrasonographic guidance (procedure),4,0.0
"Magnetic resonance imaging of calcaneus, talus, navicular and cuboid bones of foot (procedure)",4,0.0
Ultrasonography of supraclavicular fossa (procedure),4,0.0
Computed tomography of left forearm (procedure),4,0.0
Computed tomography of liver (procedure) (241549007),4,0.0
Endoscopic esophageal dilatation using fluoroscopic guidance (procedure),4,0.0
Radionuclide two-phase bone imaging of head and neck (procedure) (432400001),4,0.0
Magnetic resonance imaging of left hand with contrast (procedure) (2361000087102),4,0.0
Transesophageal echocardiography (procedure),4,0.0
Computed tomography of paranasal sinuses with contrast (procedure) (431492000),4,0.0
Biopsy of soft tissue using ultrasound guidance (procedure),4,0.0
Computed tomography of urinary tract excretory phase with contrast (procedure) (713859006),4,0.0
Fluoroscopy of thoracic spine (procedure) (431780004),4,0.0
Insert of stent into esophagus using fluoroscopic guidance (procedure) (770701008),4,0.0
Exercise stress echocardiography (procedure),4,0.0
Single photon emission computed tomography with computed tomography of perfusion of lung (procedure) (443237001),4,0.0
Injection of ankle using fluoroscopic guidance (procedure) (431620005),4,0.0
Magnetic resonance imaging of urinary bladder with contrast (procedure),4,0.0
Digital tomosynthesis of bilateral breasts (procedure) (723780005),4,0.0
Biopsy of lung using ultrasound guidance (procedure),4,0.0
Magnetic resonance imaging of left scapula (procedure) (2551000087108),4,0.0
Digital tomosynthesis of bilateral breasts (procedure),4,0.0
X-ray of thorax using mobile image intensifier (procedure) (432769002),4,0.0
Single photon emission computed tomography using radiolabeled octreotide (procedure),4,0.0
Computed tomography and drainage of abdomen (procedure) (418199004),4,0.0
Radionuclide liquid phase gastric emptying study (procedure) (252646002),4,0.0
Fluoroscopy of upper limb (procedure),4,0.0
Ultrasonography of retained products of conception (procedure),4,0.0
Magnetic resonance imaging of right thigh with contrast (procedure),4,0.0
"Single photon emission computed tomography using technetium 99m-3,3-diphosphono-1,2-propanodicarboxylic acid with computed tomography of cardiac amyloidosis (procedure)",4,0.0
Magnetic resonance imaging of urinary tract (procedure) (419275004),4,0.0
Soft tissue X-ray kidney (procedure),4,0.0
X-ray pelvimetry (procedure) (241091004),4,0.0
Fluoroscopy of whole spine (procedure),4,0.0
Magnetic resonance imaging of craniofacial structure with contrast (procedure) (826751000000109),4,0.0
Magnetic resonance imaging of urinary bladder (procedure),4,0.0
Removal of biliary drain using fluoroscopic guidance (procedure) (431701003),4,0.0
Fluoroscopic angiography and aspiration of heart (procedure),4,0.0
Repair of mitral valve using fluoroscopic guidance (procedure),4,0.0
Fluoroscopy guided percutaneous transluminal atherectomy by laser (procedure),4,0.0
Computed tomography triple phase of bilateral kidneys with contrast (procedure) (1111801000000107),4,0.0
Computed tomography of sacral spine (procedure) (241581003),4,0.0
Prone stereotactic X-ray guided core needle biopsy of breast (procedure),4,0.0
Ultrasound scan of sacral spine (procedure) (428605000),4,0.0
Magnetic resonance imaging of right hand with contrast (procedure) (2381000087108),4,0.0
Fluoroscopy - cervical column (procedure),4,0.0
Computed tomography of right clavicle (procedure),4,0.0
Magnetic resonance imaging of breast for screening (procedure) (711540006),4,0.0
Ultrasonography of biceps tendon (procedure),4,0.0
Percutaneous transluminal angioplasty of superficial femoral artery using fluoroscopic guidance (procedure) (431658009),4,0.0
Ultrasonography of sternum (procedure),3,0.0
Computed tomography of lower leg with contrast (procedure),3,0.0
Single photon emission computed tomography of whole body using iodine 131 (procedure) (431890002),3,0.0
Injection of thrombin using ultrasound guidance (procedure),3,0.0
Magnetic resonance imaging of left hand with contrast (procedure),3,0.0
Percutaneous embolization of hepatic artery using fluoroscopic guidance (procedure) (432701001),3,0.0
Magnetic resonance imaging of left thigh with contrast (procedure),3,0.0
Barbotage of shoulder using ultrasonography guidance (procedure) (912901000000106),3,0.0
Magnetic resonance imaging of right ankle with contrast (procedure),3,0.0
Single photon emission computed tomography of bone of knee (procedure),3,0.0
Fluoroscopic angioplasty of popliteal artery (procedure),3,0.0
Insertion of tunnelled drain using ultrasonography guidance (procedure),3,0.0
Cone beam computed tomography of maxilla (procedure),3,0.0
Magnetic resonance imaging of hand (procedure) (241638008),3,0.0
Fluoroscopic angiography of hepatic artery (procedure) (418554003),3,0.0
Repositioning of central venous catheter using fluoroscopic guidance (procedure),3,0.0
Endoscopic aspiration of pancreas using ultrasound guidance (procedure),3,0.0
Insertion of drain using ultrasound guidance (procedure),3,0.0
Injection of trochanteric bursa using ultrasound guidance (procedure) (431227002),3,0.0
Fluoroscopy of gastrointestinal tract using water soluble contrast swallow and meal (procedure) (433065005),3,0.0
Computed tomography arthrography of bilateral temporomandibular joints (procedure),3,0.0
Insertion of marker into breast using stereotactic mammography guidance (procedure) (872661000000104),3,0.0
Magnetic resonance imaging of thigh (procedure) (241640003),3,0.0
Magnetic resonance imaging of breast for screening (procedure),3,0.0
Radionuclide lacrimal flow study (procedure) (6650009),3,0.0
Insertion of temporary inferior vena cava filter using fluoroscopic guidance (procedure),3,0.0
Gated computed tomography of thoracic aorta with contrast (procedure) (1105171000000105),3,0.0
Three dimensional transesophageal ultrasonography of heart (procedure),3,0.0
Removal of inferior vena cava filter using fluoroscopic guidance (procedure) (432079006),3,0.0
Drainage of right breast using ultrasonographic guidance (procedure),3,0.0
Fine needle aspiration biopsy of inguinal region using ultrasound guidance (procedure),3,0.0
Radionuclide imaging of whole body using iodine (131-I) (procedure) (763840007),3,0.0
Computed tomography of finger (procedure),3,0.0
Fluoroscopic angiography of iliac artery and insertion of stent (procedure) (419539002),3,0.0
Magnetic resonance imaging of larynx (procedure),3,0.0
Ultrasonography of clavicular region (procedure),3,0.0
Magnetic resonance imaging of left femur with contrast (procedure) (2241000087107),3,0.0
Fluoroscopic arthrography of hip joint with contrast (procedure) (433214009),3,0.0
Percutaneous insertion of left atrial appendage closure device using fluoroscopic guidance (procedure),3,0.0
Magnetic resonance imaging of right clavicle (procedure) (12941000087100),3,0.0
"Single photon emission computed tomography using technetium 99m-3,3-diphosphono-1,2-propanodicarboxylic acid with computed tomography of cardiac amyloidosis (procedure) (1098431000000100)",3,0.0
Radionuclide indirect micturating cystogram (procedure) (241364006),3,0.0
Positron emission tomography with computed tomography of whole body using gallium (68-Ga) dotatate (procedure) (764693004),3,0.0
Magnetic resonance imaging of brachial plexus with contrast (procedure) (431849000),3,0.0
Percutaneous chemoembolization of artery using fluoroscopic guidance (procedure),3,0.0
Insertion of metallic stent using fluoroscopic guidance (procedure),3,0.0
Computed tomography angiography of mesenteric artery (procedure),3,0.0
Magnetic resonance imaging of trigeminal nerve (procedure) (443517001),3,0.0
Ultrasonography of scalp (procedure),3,0.0
Transjugular biopsy of liver using fluoroscopic guidance (procedure) (431604000),3,0.0
Fluoroscopy of left upper limb (procedure) (151000087108),3,0.0
Fluoroscopy of wrist (procedure),3,0.0
Biopsy of kidney using fluoroscopic guidance (procedure) (447393003),3,0.0
"Computed tomography of head, neck, thorax, abdomen and pelvis (procedure) (440331001)",3,0.0
Sternoclavicular joint X-ray (procedure) (168599006),3,0.0
Distention of shoulder using fluoroscopic guidance (procedure),3,0.0
Repair of mitral valve using fluoroscopic guidance (procedure) (432394003),3,0.0
Magnetic resonance imaging of left forearm (procedure) (2311000087104),3,0.0
Fluoroscopic liver cavernography (procedure) (418797005),3,0.0
Mammogram magnification (procedure) (241058008),3,0.0
Radionuclide non-imaging glomerular filtration rate estimation study (procedure) (706951006),3,0.0
Aspiration of breast using ultrasound guidance (procedure),3,0.0
Insertion of external drain into biliary tract using fluoroscopic guidance (procedure),3,0.0
Percutaneous transluminal balloon angioplasty using fluoroscopic guidance (procedure),3,0.0
Percutaneous nephrolithotomy using fluoroscopic guidance (procedure),3,0.0
Fluoroscopic angiography of femoral artery and insertion of stent (procedure),3,0.0
X-ray of eye for foreign body (procedure),3,0.0
Aspiration of knee using ultrasound guidance (procedure),3,0.0
Magnetic resonance imaging of upper limb (procedure) (241632009),3,0.0
Aspiration of hip using fluoroscopic guidance (procedure),3,0.0
Magnetic resonance imaging of right forearm (procedure) (2331000087109),3,0.0
Computed tomography venography of intracranial vein (procedure) (432842007),3,0.0
Radionuclide imaging of whole body using Iobenguane (123-I) (procedure),3,0.0
Fluoroscopic arthrography of shoulder (procedure) (420139001),3,0.0
Fluoroscopy of lower limb (procedure),3,0.0
Magnetic resonance imaging of shoulder with contrast (procedure) (432403004),3,0.0
Percutaneous transluminal insertion of metallic stent into bile duct using fluoroscopic guidance (procedure),3,0.0
Core needle biopsy using ultrasound guidance (procedure) (444704008),3,0.0
Vacuum assisted biopsy of breast using ultrasound guidance (procedure),3,0.0
Computed tomography of lower limb for radiotherapy planning (procedure),3,0.0
Measurement of pressure of hepatic vein using fluoroscopic guidance (procedure) (432047002),3,0.0
Positron emission tomography with computed tomography (procedure) (450436003),3,0.0
Computed tomography of esophagus for radiotherapy planning (procedure),3,0.0
Single photon emission computed tomography with computed tomography of sentinel lymph node (procedure) (447974008),3,0.0
Fluoroscopic angiography of left side of heart (procedure),3,0.0
Ultrasonography with contrast (procedure) (443631006),3,0.0
Computed tomography of right forearm (procedure),3,0.0
Endoscopic retrograde cholangiopancreatography with insertion of biliary metal stent using fluoroscopic guidance (procedure),3,0.0
Magnetic resonance angiography of carotid artery (procedure) (432103005),3,0.0
Aspiration of left breast using ultrasonographic guidance (procedure) (931000087102),3,0.0
Fluoroscopy of sacrum (procedure),3,0.0
Doppler ultrasonography of superior mesenteric artery (procedure) (431363000),3,0.0
Radiographic imaging procedure (procedure) (363680008),3,0.0
Computed tomography of lower limb for bone length measurement (procedure) (712810001),3,0.0
Biopsy of chest using ultrasound guidance (procedure),3,0.0
Insertion of cardiac monitoring implant using fluoroscopic guidance (procedure),3,0.0
Radionuclide imaging of thyroid using technetium radioisotope (procedure) (764077007),3,0.0
Fluoroscopic angiography and embolization of cerebral artery (procedure),3,0.0
Insertion of drain into thorax using ultrasound guidance (procedure),3,0.0
Endoscopic insertion of esophageal stent using fluoroscopic guidance (procedure) (431615005),3,0.0
Magnetic resonance imaging of lower leg with contrast (procedure),3,0.0
Magnetic resonance imaging venography of lower limb (procedure) (420237007),3,0.0
Magnetic resonance imaging of femur with contrast (procedure) (433174005),3,0.0
Removal of ureteric stent using fluoroscopic guidance (procedure),3,0.0
Fluoroscopic angiography of abdominal aorta with insertion of stent graft (procedure) (429805005),3,0.0
Magnetic resonance arthrography of left wrist (procedure),3,0.0
Dilatation of colon and rectum using fluoroscopic guidance (procedure),3,0.0
Magnetic resonance imaging of left clavicle (procedure),3,0.0
Positron emission tomography of brain using fluorodeoxyglucose (18-F) (procedure) (764660008),3,0.0
Removal of cardiac pacemaker lead using fluoroscopic guidance (procedure) (431702005),3,0.0
Ultrasonography of abdomen with contrast (procedure) (444900008),3,0.0
Insertion of magnetic marker into right breast using stereotactic mammography guidance (procedure) (1106651000000104),3,0.0
Lutetium (177-Lu) labelled somatostatin analogue therapy (procedure),3,0.0
Insertion of stent using fluoroscopic guidance (procedure) (432811002),3,0.0
Fluoroscopy guided percutaneous transluminal atherectomy by rotary cutter (procedure) (312721000000107),3,0.0
Insertion of tunnelled drain into abdomen using ultrasonographic guidance (procedure) (979441000000101),3,0.0
Percutaneous embolization of hepatic artery using fluoroscopic guidance (procedure),3,0.0
Magnetic resonance imaging of forearm (procedure) (241636007),3,0.0
Endocardial ablation of pulmonary vein using fluoroscopic guidance (procedure),3,0.0
Barium follow through (procedure) (168831000),3,0.0
Adjustment of gastric banding using fluoroscopic guidance (procedure) (431698006),3,0.0
Radionuclide dynamic bone imaging (procedure),3,0.0
Magnetic resonance imaging angiography of renal and abdominal visceral artery (procedure) (863877000),3,0.0
Fluoroscopic urinary tract loopogram (procedure) (418355001),3,0.0
Single photon emission computed tomography with computed tomography of bone of pelvis (procedure) (443536006),3,0.0
Radionuclide scan of whole body using technetium 99m hydrazinonicotinamide-Tyr3-octreotide (procedure) (1103281000000102),3,0.0
X-ray of cerebrospinal fluid shunt (procedure),3,0.0
Computed tomography of internal auditory meatus (procedure) (241521000),3,0.0
Computed tomography angiography of abdominal artery (procedure) (448443000),3,0.0
Ultrasound scan of sacral spine (procedure),2,0.0
Computed tomography of face with contrast (procedure) (431714002),2,0.0
Computed tomography cisternography (procedure) (241524008),2,0.0
Injection of nerve root of sacral spine using fluoroscopic guidance (procedure) (431552004),2,0.0
T tube cholangiogram (procedure) (174682006),2,0.0
Cone beam computed tomography of mandible (procedure) (718007002),2,0.0
Magnetic resonance imaging of abdomen and pelvis with contrast (procedure),2,0.0
Fluoroscopy guided percutaneous thrombolysis of aorta and femoral artery (procedure),2,0.0
Magnetic resonance imaging stress study of cardiac function (procedure),2,0.0
Ultrasonography of multiple pregnancy (procedure) (855021000000107),2,0.0
Percutaneous microwave ablation of lesion of kidney using computed tomography guidance (procedure) (819811000000101),2,0.0
Magnetic resonance imaging angiography of upper limb artery (procedure),2,0.0
Fluoroscopic angiography of superior mesenteric artery using contrast with insertion of stent (procedure) (433025006),2,0.0
Magnetic resonance imaging of cervicothoracic spine with contrast (procedure),2,0.0
Barium follow through (procedure),2,0.0
Magnetic resonance imaging of left hip with contrast (procedure) (2401000087108),2,0.0
Magnetic resonance imaging angiography of lower limb artery (procedure) (418180008),2,0.0
Computed tomography of thorax with contrast for radiotherapy planning (procedure),2,0.0
Ultrasound scan of penis (procedure),2,0.0
Percutaneous insertion of drug eluting stent into coronary artery using fluoroscopic guidance (procedure),2,0.0
Injection of knee using fluoroscopic guidance (procedure),2,0.0
Fluoroscopy of pelvis (procedure),2,0.0
Closure of patent foramen ovale using fluoroscopic guidance (procedure),2,0.0
Recanalisation of gastrostomy tube using fluoroscopic guidance (procedure),2,0.0
Angiography using mobile image intensifier (procedure),2,0.0
Computed tomography of head and orbits with contrast (procedure) (702763006),2,0.0
"Computed tomography of head, neck, thorax and abdomen (procedure)",2,0.0
Positron emission tomography with computed tomography of whole body using gallium-68 (procedure),2,0.0
Fluoroscopic venography of lower limb (procedure),2,0.0
Radionuclide imaging of brain perfusion (procedure) (432156007),2,0.0
Single photon emission computed tomography with computed tomography of ventilation of lung (procedure),2,0.0
Injection of steroid into joint using fluoroscopic guidance (procedure),2,0.0
Magnetic resonance imaging of perineum (procedure),2,0.0
X-ray of skull using mobile image intensifier (procedure) (439100007),2,0.0
Endoscopic insertion of bowel stent using fluoroscopic guidance (procedure) (432660009),2,0.0
Ultrasound scan of transplant liver (procedure),2,0.0
Magnetic resonance imaging of right elbow with contrast (procedure) (2221000087103),2,0.0
Pericardiocentesis using fluoroscopic guidance (procedure),2,0.0
Embolization of uterine fibroid using fluoroscopic guidance (procedure) (432979009),2,0.0
Radiofrequency biopsy of breast using stereotactic X-ray guidance (procedure),2,0.0
Digital slit-beam radiograph of leg length (procedure),2,0.0
Percutaneous cryoablation of neoplasm of right kidney using computed tomography guidance (procedure),2,0.0
Optical coherence tomography assessment of thickness of arterial wall using fluoroscopic guidance (procedure) (847061000000105),2,0.0
Magnetic resonance imaging angiography of pulmonary arteries (procedure),2,0.0
Injection of cervical spinal nerve root using computed tomography guidance (procedure),2,0.0
Percutaneous needle puncture and aspiration using computed tomography guidance (procedure),2,0.0
Insertion of suprapubic catheter using ultrasound guidance (procedure),2,0.0
Radionuclide two-phase bone imaging of upper limb (procedure) (430832002),2,0.0
Fluoroscopic angiography of external iliac artery using contrast with insertion of stent (procedure) (431715001),2,0.0
Embolization of arteriovenous malformation using fluoroscopic guidance (procedure) (438652003),2,0.0
Ultrasonography of thumb (procedure) (432002003),2,0.0
Injection of Botulinum toxin using ultrasonography guidance (procedure),2,0.0
Computed tomography of left scaphoid (procedure),2,0.0
Injection of trochanteric bursa using ultrasound guidance (procedure),2,0.0
Ultrasound scan of diaphragm (procedure) (418889006),2,0.0
Computed tomography of right calcaneum (procedure) (4171000087101),2,0.0
Exercise stress ultrasonography of heart with contrast (procedure),2,0.0
Magnetic resonance arthrography of right wrist (procedure),2,0.0
Injection of lumbar zygapophyseal joint using computed tomography guidance (procedure),2,0.0
Single photon emission computed tomography of brain perfusion (procedure) (429823002),2,0.0
Percutaneous insertion of stent into aneurysm of cerebrum using fluoroscopic guidance (procedure),2,0.0
Transjugular biopsy of liver using fluoroscopic guidance (procedure),2,0.0
Aspiration of pelvis using ultrasound guidance (procedure),2,0.0
Removal of cardiac pacemaker lead using fluoroscopic guidance (procedure),2,0.0
Magnetic resonance imaging of mediastinum (procedure),2,0.0
Computed tomography of abdomen and pelvis with oral and intravenous contrast (procedure) (764729002),2,0.0
Magnetic resonance imaging of breast implant (procedure),2,0.0
Ultrasound scan and biopsy of pelvis (procedure) (420041003),2,0.0
Magnetic resonance imaging of sacral spine with contrast (procedure),2,0.0
Prone stereotactic X-ray guided core needle biopsy of breast (procedure) (306381000000106),2,0.0
Endoscopic ultrasonography of stomach (procedure),2,0.0
Endoscopic ultrasonography of esophagus (procedure),2,0.0
"Magnetic resonance imaging for cardiac morphology, function, and velocity under stress with contrast (procedure)",2,0.0
Magnetic resonance imaging of left breast (procedure),2,0.0
Fluoroscopic angiography of abdominal aorta with insertion of stent graft (procedure),2,0.0
Magnetic resonance imaging of left knee with contrast (procedure) (2481000087101),2,0.0
Biopsy of hip using fluoroscopic guidance (procedure),2,0.0
Fluoroscopy guided revision of permanent cardiac pacemaker (procedure),2,0.0
Insertion of tunnelled drain into abdomen using fluoroscopic guidance (procedure) (912351000000106),2,0.0
Magnetic resonance imaging of cerebrospinal fluid flow (procedure),2,0.0
Magnetic resonance imaging of oral cavity (procedure),2,0.0
Percutaneous microwave ablation of lesion of liver using computed tomography guidance (procedure) (819791000000102),2,0.0
Computed tomography of abdomen for radiotherapy planning (procedure),2,0.0
Pelvic angiography (procedure) (241255003),2,0.0
Radionuclide single phase bone study of whole body (procedure) (431204005),2,0.0
Hindfoot X-ray (procedure),2,0.0
Injection of hand using fluoroscopic guidance (procedure) (431821007),2,0.0
Computed tomography shoulder region structure (procedure),2,0.0
Radionuclide imaging of hepatobiliary region with gallbladder stimulation (procedure) (432095006),2,0.0
Ultrasound scan of prostate (procedure) (241487002),2,0.0
Magnetic resonance imaging of scapula (procedure) (432112007),2,0.0
Repair of heart valve using fluoroscopic guidance (procedure),2,0.0
Fluoroscopy of right upper limb (procedure) (161000087106),2,0.0
Radionuclide study for detection of liver to lung shunt using technetium 99m macroaggregated albumin (procedure) (981701000000102),2,0.0
Reposition of permanent cardiac pacemaker using fluoroscopic guidance (procedure) (430294007),2,0.0
Insertion of magnetic marker into left breast using stereotactic mammography guidance (procedure),2,0.0
Ablation using computed tomography guidance (procedure),2,0.0
Magnetic resonance imaging of head for radiotherapy planning (procedure),2,0.0
Computed tomography of heart with contrast (procedure),2,0.0
Computed tomography myelogram of lumbar region (procedure) (241592002),2,0.0
Fluoroscopy guided percutaneous transluminal atherectomy by laser (procedure) (312701000000103),2,0.0
Magnetic resonance imaging of lower extremity (procedure),2,0.0
Computed tomography of hand (procedure) (241569002),2,0.0
Fluoroscopic angiography and embolization of celiac artery (procedure) (419779009),2,0.0
Gastrojejunostomy using fluoroscopic guidance (procedure) (433024005),2,0.0
Labeled serum amyloid protein study (procedure),2,0.0
Fluoroscopic venography of inferior vena cava (procedure),2,0.0
Insertion of marker into breast using magnetic resonance imaging guidance (procedure),2,0.0
Vacuum assisted core needle biopsy of breast using magnetic resonance imaging guidance (procedure),2,0.0
X-ray of cochlear implant (procedure),2,0.0
Insertion of drain into thorax using ultrasound guidance (procedure) (431618007),2,0.0
Magnetic resonance imaging of parotid gland with contrast (procedure) (709578002),2,0.0
Magnetic resonance imaging of buttock (procedure),2,0.0
Percutaneous injection of thrombin using fluoroscopic guidance (procedure),2,0.0
Fluoroscopy of gastrointestinal tract using water soluble contrast swallow and meal (procedure),2,0.0
Ultrasonography of abdomen with contrast (procedure),2,0.0
Magnetic resonance imaging defecating proctogram (procedure) (353471000000101),2,0.0
Percutaneous microwave ablation of lesion of liver using computed tomography guidance (procedure),2,0.0
Insertion of permanent inferior vena cava filter using fluoroscopic guidance (procedure),2,0.0
Ultrasonography of bilateral elbows (procedure),2,0.0
Computed tomography of sacral spine (procedure),2,0.0
Magnetic resonance imaging of left clavicle (procedure) (12931000087106),2,0.0
Fluoroscopic angiography of upper limb artery (procedure),2,0.0
Computed tomography of lower limb for bone length measurement (procedure),2,0.0
Percutaneous injection of thrombin using fluoroscopic guidance (procedure) (430472002),2,0.0
Fluoroscopy of spine (procedure) (418202009),2,0.0
Insertion of stent graft into iliac artery using fluoroscopic guidance (procedure),2,0.0
Ultrasound scan of pericardium and aspiration (procedure) (420206007),2,0.0
Biopsy of lung using fluoroscopic guidance (procedure),2,0.0
Magnetic resonance imaging of left femur with contrast (procedure),2,0.0
Computed tomography of brain perfusion (procedure),2,0.0
Magnetic resonance imaging cerebral perfusion study (procedure),2,0.0
Magnetic resonance imaging of bilateral thighs (procedure) (17501000087108),2,0.0
Percutaneous embolization of internal iliac artery using fluoroscopic guidance (procedure),2,0.0
Radionuclide imaging of whole body using Iobenguane (123-I) (procedure) (763843009),2,0.0
Injection of cervical spinal nerve root using fluoroscopic guidance (procedure) (725822006),2,0.0
Single photon emission computed tomography with computed tomography of bone of lumbar spine (procedure),2,0.0
Percutaneous embolization of renal artery using fluoroscopic guidance (procedure),2,0.0
Aspiration of shoulder using ultrasound guidance (procedure),2,0.0
Computed tomography of mandible and maxilla (procedure),2,0.0
Magnetic resonance imaging of lumbosacral plexus (procedure),2,0.0
Radionuclide imaging using lutetium (177-Lu) labeled somatostatin analog (procedure),2,0.0
Radiography of sacrococcygeal spine (procedure) (8449009),2,0.0
Magnetic resonance imaging of temporomandibular joint with contrast (procedure) (702721007),2,0.0
Radionuclide imaging of whole body using iodine (131-I) (procedure),2,0.0
Vacuum assisted excision of breast using ultrasonographic guidance (procedure),2,0.0
Insertion of intra-aortic balloon pump using fluoroscopic guidance (procedure) (432375008),2,0.0
Ultrasonography of sternoclavicular joint (procedure),2,0.0
Radionuclide indirect micturating cystogram (procedure),2,0.0
Epidural injection of lumbar spine using fluoroscopic guidance (procedure),2,0.0
Magnetic resonance imaging of axilla (procedure),2,0.0
Radionuclide bone imaging of thorax (procedure) (432399008),2,0.0
